,MejorEval,SolActiva
660,41.88108053333334,45.79816983333334
661,41.874913633333335,45.79200293333334
662,41.874912333333334,45.79200163333334
663,41.874912333333334,45.79200163333334
664,41.8748749,45.79196420000001
665,41.8748749,45.79196420000001
666,41.87483426666667,45.791923566666675
667,41.87478386666667,45.79187316666667
668,41.87475806666667,45.79184736666668
669,41.77399653333334,45.69108583333334
670,41.77398710000001,45.691076400000014
671,41.77382146666668,45.69091076666668
672,41.773787966666674,45.69087726666668
673,41.77378750000001,45.69087680000002
674,41.77378750000001,45.69087680000002
675,41.76497866666667,45.68206796666667
676,41.7649537,45.68204300000001
677,41.76494736666667,45.682036666666676
678,41.76480176666667,45.68189106666668
679,41.76480176666667,45.68189106666668
680,41.76478016666667,45.68186946666667
681,41.70120373333334,45.61829303333334
682,41.690675533333334,45.60776483333334
683,41.690675533333334,45.60776483333334
684,41.69067243333333,45.607761733333334
685,41.69062333333333,45.607712633333335
686,41.69062333333333,45.607712633333335
687,41.68600903333333,45.60309833333334
688,41.68600903333333,45.60309833333334
689,41.65769603333333,45.57478533333334
690,41.65769603333333,45.57478533333334
691,41.65769603333333,45.57478533333334
692,41.656359466666665,45.573448766666665
693,41.62295236666667,45.54004166666667
694,41.62295236666667,45.54004166666667
695,41.622952000000005,45.540041300000006
696,41.622952000000005,45.540041300000006
697,41.622786366666666,45.539875666666674
698,41.62277496666666,45.53986426666667
699,41.62277496666666,45.53986426666667
700,41.62277496666666,45.53986426666667
701,41.62264103333333,45.53973033333333
702,41.62264103333333,45.53973033333333
703,41.62264103333333,45.53973033333333
704,41.62264103333333,45.53973033333333
705,41.5135834,45.430672699999995
706,41.5135834,45.430672699999995
707,41.5135834,45.430672699999995
